"Embryo_ID","Experiment","Litter","Exp_date","Img_date","TE_ICM","Cellcount","Stage","Background","Treatment","Gene1","Genotype1","Gene2","Genotype2","ESC_line","ESC_genotype","ESC_t0","ES_culture","H_cells","D_cells","Culture_time","Stage.t0","Cre","icm.count","group.median","Identity.hc","count","pc.icm","host.icm","esc.end"
"010919Xim_F4_DH6","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",133,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","2","2i/LIF","8",2,"56h","8cell","Gdf9:iCre",36,140,"ESC",1,2.77777777777778,35,"0.5x"
"010919Xim_F4_DH6","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",133,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","2","2i/LIF","8",2,"56h","8cell","Gdf9:iCre",36,140,"EPI",26,72.2222222222222,35,"0.5x"
"010919Xim_F4_DH6","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",133,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","2","2i/LIF","8",2,"56h","8cell","Gdf9:iCre",36,140,"PRE",9,25,35,"0.5x"
"010919Xim_F4_DH6","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"TE",133,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","2","2i/LIF","8",2,"56h","8cell","Gdf9:iCre",36,140,"TE",97,269.444444444444,35,"0.5x"
"010919Xim_F4_DH6","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",133,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","2","2i/LIF","8",2,"56h","8cell","Gdf9:iCre",36,140,"EPI.lo",0,0,35,"0.5x"
"010919Xim_F4_DH6","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",133,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","2","2i/LIF","8",2,"56h","8cell","Gdf9:iCre",36,140,"DP",0,0,35,"0.5x"
"010919Xim_F4_DH7","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",120,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","4","2i/LIF","8",4,"56h","8cell","Gdf9:iCre",39,140,"ESC",26,66.6666666666667,13,"4x"
"010919Xim_F4_DH7","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",120,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","4","2i/LIF","8",4,"56h","8cell","Gdf9:iCre",39,140,"EPI",0,0,13,"4x"
"010919Xim_F4_DH7","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",120,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","4","2i/LIF","8",4,"56h","8cell","Gdf9:iCre",39,140,"PRE",13,33.3333333333333,13,"4x"
"010919Xim_F4_DH7","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"TE",120,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","4","2i/LIF","8",4,"56h","8cell","Gdf9:iCre",39,140,"TE",81,207.692307692308,13,"4x"
"010919Xim_F4_DH7","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",120,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","4","2i/LIF","8",4,"56h","8cell","Gdf9:iCre",39,140,"EPI.lo",0,0,13,"4x"
"010919Xim_F4_DH7","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",120,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","4","2i/LIF","8",4,"56h","8cell","Gdf9:iCre",39,140,"DP",0,0,13,"4x"
"010919Xim_F4_DH9","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",119,"90_120","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","4","2i/LIF","8",4,"56h","8cell","Gdf9:iCre",20,140,"EPI",1,5,14,"1x"
"010919Xim_F4_DH9","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"TE",119,"90_120","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","4","2i/LIF","8",4,"56h","8cell","Gdf9:iCre",20,140,"TE",99,495,14,"1x"
"010919Xim_F4_DH9","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",119,"90_120","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","4","2i/LIF","8",4,"56h","8cell","Gdf9:iCre",20,140,"PRE",13,65,14,"1x"
"010919Xim_F4_DH9","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",119,"90_120","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","4","2i/LIF","8",4,"56h","8cell","Gdf9:iCre",20,140,"ESC",6,30,14,"1x"
"010919Xim_F4_DH9","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",119,"90_120","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","4","2i/LIF","8",4,"56h","8cell","Gdf9:iCre",20,140,"DP",0,0,14,"1x"
"010919Xim_F4_DH9","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",119,"90_120","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","4","2i/LIF","8",4,"56h","8cell","Gdf9:iCre",20,140,"EPI.lo",0,0,14,"1x"
"010919Xim_F4_DI3","010919Xim_F4_DI.Chimera","DI",20190109,20190118,"ICM",167,">150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","5","S/LIF","8",5,"56h","8cell","Gdf9:iCre",34,161,"EPI",0,0,15,"2x"
"010919Xim_F4_DI3","010919Xim_F4_DI.Chimera","DI",20190109,20190118,"ICM",167,">150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","5","S/LIF","8",5,"56h","8cell","Gdf9:iCre",34,161,"PRE",13,38.2352941176471,15,"2x"
"010919Xim_F4_DI3","010919Xim_F4_DI.Chimera","DI",20190109,20190118,"ICM",167,">150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","5","S/LIF","8",5,"56h","8cell","Gdf9:iCre",34,161,"ESC",19,55.8823529411765,15,"2x"
"010919Xim_F4_DI3","010919Xim_F4_DI.Chimera","DI",20190109,20190118,"TE",167,">150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","5","S/LIF","8",5,"56h","8cell","Gdf9:iCre",34,161,"TE",133,391.176470588235,15,"2x"
"010919Xim_F4_DI3","010919Xim_F4_DI.Chimera","DI",20190109,20190118,"ICM",167,">150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","5","S/LIF","8",5,"56h","8cell","Gdf9:iCre",34,161,"EPI.lo",0,0,15,"2x"
"010919Xim_F4_DI3","010919Xim_F4_DI.Chimera","DI",20190109,20190118,"ICM",167,">150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","5","S/LIF","8",5,"56h","8cell","Gdf9:iCre",34,161,"DP",2,5.88235294117647,15,"2x"
"010919Xim_F4_DI4","010919Xim_F4_DI.Chimera","DI",20190109,20190118,"ICM",147,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","5","S/LIF","8",5,"56h","8cell","Gdf9:iCre",58,161,"PRE",27,46.551724137931,41,"2x"
"010919Xim_F4_DI4","010919Xim_F4_DI.Chimera","DI",20190109,20190118,"ICM",147,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","5","S/LIF","8",5,"56h","8cell","Gdf9:iCre",58,161,"ESC",17,29.3103448275862,41,"2x"
"010919Xim_F4_DI4","010919Xim_F4_DI.Chimera","DI",20190109,20190118,"TE",147,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","5","S/LIF","8",5,"56h","8cell","Gdf9:iCre",58,161,"TE",89,153.448275862069,41,"2x"
"010919Xim_F4_DI4","010919Xim_F4_DI.Chimera","DI",20190109,20190118,"ICM",147,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","5","S/LIF","8",5,"56h","8cell","Gdf9:iCre",58,161,"EPI.lo",0,0,41,"2x"
"010919Xim_F4_DI4","010919Xim_F4_DI.Chimera","DI",20190109,20190118,"ICM",147,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","5","S/LIF","8",5,"56h","8cell","Gdf9:iCre",58,161,"EPI",14,24.1379310344828,41,"2x"
"010919Xim_F4_DI4","010919Xim_F4_DI.Chimera","DI",20190109,20190118,"ICM",147,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","5","S/LIF","8",5,"56h","8cell","Gdf9:iCre",58,161,"DP",0,0,41,"2x"
"010919Xim_F4_DI5","010919Xim_F4_DI.Chimera","DI",20190109,20190118,"ICM",140,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","5","2i/LIF","8",5,"56h","8cell","Gdf9:iCre",43,161,"ESC",5,11.6279069767442,38,"1x"
"010919Xim_F4_DI5","010919Xim_F4_DI.Chimera","DI",20190109,20190118,"TE",140,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","5","2i/LIF","8",5,"56h","8cell","Gdf9:iCre",43,161,"TE",97,225.581395348837,38,"1x"
"010919Xim_F4_DI5","010919Xim_F4_DI.Chimera","DI",20190109,20190118,"ICM",140,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","5","2i/LIF","8",5,"56h","8cell","Gdf9:iCre",43,161,"EPI.lo",0,0,38,"1x"
"010919Xim_F4_DI5","010919Xim_F4_DI.Chimera","DI",20190109,20190118,"ICM",140,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","5","2i/LIF","8",5,"56h","8cell","Gdf9:iCre",43,161,"EPI",25,58.1395348837209,38,"1x"
"010919Xim_F4_DI5","010919Xim_F4_DI.Chimera","DI",20190109,20190118,"ICM",140,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","5","2i/LIF","8",5,"56h","8cell","Gdf9:iCre",43,161,"DP",2,4.65116279069767,38,"1x"
"010919Xim_F4_DI5","010919Xim_F4_DI.Chimera","DI",20190109,20190118,"ICM",140,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","5","2i/LIF","8",5,"56h","8cell","Gdf9:iCre",43,161,"PRE",11,25.5813953488372,38,"1x"
"010919Xim_F4_DI8","010919Xim_F4_DI.Chimera","DI",20190109,20190118,"ICM",161,">150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","5","2i/LIF","8",5,"56h","8cell","Gdf9:iCre",58,161,"ESC",22,37.9310344827586,36,"4x"
"010919Xim_F4_DI8","010919Xim_F4_DI.Chimera","DI",20190109,20190118,"ICM",161,">150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","5","2i/LIF","8",5,"56h","8cell","Gdf9:iCre",58,161,"DP",3,5.17241379310345,36,"4x"
"010919Xim_F4_DI8","010919Xim_F4_DI.Chimera","DI",20190109,20190118,"ICM",161,">150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","5","2i/LIF","8",5,"56h","8cell","Gdf9:iCre",58,161,"EPI",20,34.4827586206897,36,"4x"
"010919Xim_F4_DI8","010919Xim_F4_DI.Chimera","DI",20190109,20190118,"TE",161,">150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","5","2i/LIF","8",5,"56h","8cell","Gdf9:iCre",58,161,"TE",103,177.586206896552,36,"4x"
"010919Xim_F4_DI8","010919Xim_F4_DI.Chimera","DI",20190109,20190118,"ICM",161,">150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","5","2i/LIF","8",5,"56h","8cell","Gdf9:iCre",58,161,"PRE",13,22.4137931034483,36,"4x"
"010919Xim_F4_DI8","010919Xim_F4_DI.Chimera","DI",20190109,20190118,"ICM",161,">150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","5","2i/LIF","8",5,"56h","8cell","Gdf9:iCre",58,161,"EPI.lo",0,0,36,"4x"
"010919Xim_WT_DJ1","010919Xim_WT_DJ.Control","DJ",20190109,20190123,"ICM",104,"90_120","CD1/mixed","Control","Fgf4","wt","any","wt","CAG:H2B-GFP","no.esc","zero","S/LIF","8",0,"56h","8cell","none",17,104,"DP",0,0,17,"0"
"010919Xim_WT_DJ1","010919Xim_WT_DJ.Control","DJ",20190109,20190123,"ICM",104,"90_120","CD1/mixed","Control","Fgf4","wt","any","wt","CAG:H2B-GFP","no.esc","zero","S/LIF","8",0,"56h","8cell","none",17,104,"EPI.lo",0,0,17,"0"
"010919Xim_WT_DJ1","010919Xim_WT_DJ.Control","DJ",20190109,20190123,"TE",104,"90_120","CD1/mixed","Control","Fgf4","wt","any","wt","CAG:H2B-GFP","no.esc","zero","S/LIF","8",0,"56h","8cell","none",17,104,"TE",87,511.764705882353,17,"0"
"010919Xim_WT_DJ1","010919Xim_WT_DJ.Control","DJ",20190109,20190123,"ICM",104,"90_120","CD1/mixed","Control","Fgf4","wt","any","wt","CAG:H2B-GFP","no.esc","zero","S/LIF","8",0,"56h","8cell","none",17,104,"PRE",14,82.3529411764706,17,"0"
"010919Xim_WT_DJ1","010919Xim_WT_DJ.Control","DJ",20190109,20190123,"ICM",104,"90_120","CD1/mixed","Control","Fgf4","wt","any","wt","CAG:H2B-GFP","no.esc","zero","S/LIF","8",0,"56h","8cell","none",17,104,"ESC",0,0,17,"0"
"010919Xim_WT_DJ1","010919Xim_WT_DJ.Control","DJ",20190109,20190123,"ICM",104,"90_120","CD1/mixed","Control","Fgf4","wt","any","wt","CAG:H2B-GFP","no.esc","zero","S/LIF","8",0,"56h","8cell","none",17,104,"EPI",3,17.6470588235294,17,"0"
"010919Xim_WT_DJ10","010919Xim_WT_DJ.Chimera","DJ",20190109,20190123,"ICM",171,">150","CD1/mixed","Chimera","Fgf4","wt","any","wt","CAG:H2B-GFP","wt","1","S/LIF","8",1,"56h","8cell","none",39,159,"EPI",13,33.3333333333333,39,"0"
"010919Xim_WT_DJ10","010919Xim_WT_DJ.Chimera","DJ",20190109,20190123,"ICM",171,">150","CD1/mixed","Chimera","Fgf4","wt","any","wt","CAG:H2B-GFP","wt","1","S/LIF","8",1,"56h","8cell","none",39,159,"ESC",0,0,39,"0"
"010919Xim_WT_DJ10","010919Xim_WT_DJ.Chimera","DJ",20190109,20190123,"TE",171,">150","CD1/mixed","Chimera","Fgf4","wt","any","wt","CAG:H2B-GFP","wt","1","S/LIF","8",1,"56h","8cell","none",39,159,"TE",132,338.461538461538,39,"0"
"010919Xim_WT_DJ10","010919Xim_WT_DJ.Chimera","DJ",20190109,20190123,"ICM",171,">150","CD1/mixed","Chimera","Fgf4","wt","any","wt","CAG:H2B-GFP","wt","1","S/LIF","8",1,"56h","8cell","none",39,159,"DP",1,2.56410256410256,39,"0"
"010919Xim_WT_DJ10","010919Xim_WT_DJ.Chimera","DJ",20190109,20190123,"ICM",171,">150","CD1/mixed","Chimera","Fgf4","wt","any","wt","CAG:H2B-GFP","wt","1","S/LIF","8",1,"56h","8cell","none",39,159,"PRE",25,64.1025641025641,39,"0"
"010919Xim_WT_DJ10","010919Xim_WT_DJ.Chimera","DJ",20190109,20190123,"ICM",171,">150","CD1/mixed","Chimera","Fgf4","wt","any","wt","CAG:H2B-GFP","wt","1","S/LIF","8",1,"56h","8cell","none",39,159,"EPI.lo",0,0,39,"0"
"010919Xim_WT_DJ11","010919Xim_WT_DJ.Chimera","DJ",20190109,20190123,"TE",175,">150","CD1/mixed","Chimera","Fgf4","wt","any","wt","CAG:H2B-GFP","wt","1","S/LIF","8",1,"56h","8cell","none",38,159,"TE",137,360.526315789474,38,"0"
"010919Xim_WT_DJ11","010919Xim_WT_DJ.Chimera","DJ",20190109,20190123,"ICM",175,">150","CD1/mixed","Chimera","Fgf4","wt","any","wt","CAG:H2B-GFP","wt","1","S/LIF","8",1,"56h","8cell","none",38,159,"PRE",27,71.0526315789474,38,"0"
"010919Xim_WT_DJ11","010919Xim_WT_DJ.Chimera","DJ",20190109,20190123,"ICM",175,">150","CD1/mixed","Chimera","Fgf4","wt","any","wt","CAG:H2B-GFP","wt","1","S/LIF","8",1,"56h","8cell","none",38,159,"EPI",11,28.9473684210526,38,"0"
"010919Xim_WT_DJ11","010919Xim_WT_DJ.Chimera","DJ",20190109,20190123,"ICM",175,">150","CD1/mixed","Chimera","Fgf4","wt","any","wt","CAG:H2B-GFP","wt","1","S/LIF","8",1,"56h","8cell","none",38,159,"ESC",0,0,38,"0"
"010919Xim_WT_DJ11","010919Xim_WT_DJ.Chimera","DJ",20190109,20190123,"ICM",175,">150","CD1/mixed","Chimera","Fgf4","wt","any","wt","CAG:H2B-GFP","wt","1","S/LIF","8",1,"56h","8cell","none",38,159,"DP",0,0,38,"0"
"010919Xim_WT_DJ11","010919Xim_WT_DJ.Chimera","DJ",20190109,20190123,"ICM",175,">150","CD1/mixed","Chimera","Fgf4","wt","any","wt","CAG:H2B-GFP","wt","1","S/LIF","8",1,"56h","8cell","none",38,159,"EPI.lo",0,0,38,"0"
"010919Xim_WT_DJ12","010919Xim_WT_DJ.Chimera","DJ",20190109,20190123,"TE",156,">150","CD1/mixed","Chimera","Fgf4","wt","any","wt","CAG:H2B-GFP","wt","1","S/LIF","8",1,"56h","8cell","none",24,159,"TE",132,550,24,"0"
"010919Xim_WT_DJ12","010919Xim_WT_DJ.Chimera","DJ",20190109,20190123,"ICM",156,">150","CD1/mixed","Chimera","Fgf4","wt","any","wt","CAG:H2B-GFP","wt","1","S/LIF","8",1,"56h","8cell","none",24,159,"ESC",0,0,24,"0"
